Location,On_Time_T,Booked_T,On_Time_A,STPM,date,link_id
Aberdeen,63,59,64.8,84.4,2026-03-01,85265
Airdrie,50.2,33,59.2,85.5,2026-03-01,85265
Alloa,75.1,35,75.1,95.7,2026-03-01,85265
Anniesland,57.1,25,60.7,90.4,2026-03-01,85265
Arbroath,15.4,6,31.4,83,2026-03-01,85265
Ardgay,46.3,1,46.3,82.7,2026-03-01,85265
Ardrossan Harbour,40.9,17,40.9,89.5,2026-03-01,85265
Ardrossan South Beach,28.4,3,62,92.4,2026-03-01,85265
Ardrossan Town,NA,NA,65.2,92.5,2026-03-01,85265
Aviemore,NA,NA,51.7,77.4,2026-03-01,85265
Ayr,61.1,49,64.5,91.1,2026-03-01,85265
Balloch,46.8,34,46.8,85.6,2026-03-01,85265
Barrhead,47.3,13,51.5,94,2026-03-01,85265
Bathgate,66,13,63.3,88.5,2026-03-01,85265
Cardenden,NA,NA,63.8,88.6,2026-03-01,85265
Carlisle,66,17,66,93,2026-03-01,85265
Carnoustie,NA,NA,26.7,82.6,2026-03-01,85265
Carstairs,56.7,3,50.8,90.4,2026-03-01,85265
Cowdenbeath,66.9,14,61.7,90.7,2026-03-01,85265
Crianlarich,30.8,2,41.5,68.2,2026-03-01,85265
Cumbernauld,49.5,33,52.5,94.4,2026-03-01,85265
Dalmally,87.1,1,87.1,91.3,2026-03-01,85265
Dalmuir,45.8,95,51.2,86.5,2026-03-01,85265
Dingwall,75.4,1,63.7,84.3,2026-03-01,85265
Dumbarton Central,NA,NA,54.2,86.3,2026-03-01,85265
Dumfries,73.2,12,69.8,92.5,2026-03-01,85265
Dunbar,71.9,6,71.9,95,2026-03-01,85265
Dunblane,58.6,38,70.1,92.1,2026-03-01,85265
Dundee,51.7,44,52.4,85.3,2026-03-01,85265
Dyce,NA,NA,72.7,89.1,2026-03-01,85265
East Kilbride,68.2,38,68.2,95.8,2026-03-01,85265
Edinburgh,60.8,334,60.8,88.7,2026-03-01,85265
Elgin,69.2,7,55.2,84.2,2026-03-01,85265
Falkirk Grahamston,57.6,19,59.5,84.5,2026-03-01,85265
Falkirk High,NA,NA,81.4,95.9,2026-03-01,85265
Fort William,83,1,65.5,81.7,2026-03-01,85265
Garscadden,63.9,6,68.7,89.3,2026-03-01,85265
Girvan,41.7,9,33.2,88.9,2026-03-01,85265
Glasgow Central,53.5,452,53.5,91.8,2026-03-01,85265
Glasgow Central Low Level,NA,NA,53.9,88.5,2026-03-01,85265
Glasgow Queen Street Low Level,NA,NA,61,89.1,2026-03-01,85265
Glenrothes,43.7,7,55.7,88,2026-03-01,85265
Gourock,50.2,38,50.2,94.3,2026-03-01,85265
Haymarket,59.5,1,68.7,91.9,2026-03-01,85265
Helensburgh Central,32,36,32,83.3,2026-03-01,85265
Invergordon,45.5,1,54.1,80.6,2026-03-01,85265
Inverness,63.7,42,63.4,81.7,2026-03-01,85265
Inverurie,88.6,20,66.4,86.7,2026-03-01,85265
Irvine,NA,NA,66.1,94.7,2026-03-01,85265
Kilmarnock,74.2,30,73.5,92.5,2026-03-01,85265
Kilwinning,NA,NA,50.7,93.5,2026-03-01,85265
Kirkcaldy,NA,NA,58,89.5,2026-03-01,85265
Kyle of Lochalsh,44,4,43.9,78.7,2026-03-01,85265
Lanark,52.5,37,52.5,87.6,2026-03-01,85265
Largs,38.6,19,38.6,87.4,2026-03-01,85265
Larkhall,44.5,34,44.5,85.1,2026-03-01,85265
Lenzie,NA,NA,68.9,94.4,2026-03-01,85265
Leven,48.8,42,48.8,84.9,2026-03-01,85265
Mallaig,62.7,4,62.7,79.8,2026-03-01,85265
Markinch,NA,NA,45.1,70.2,2026-03-01,85265
Milngavie,46.4,47,46.4,84.9,2026-03-01,85265
Montrose,76.3,10,37.2,84.4,2026-03-01,85265
Motherwell,51.7,40,57.7,87.7,2026-03-01,85265
Mount Florida,NA,NA,76.6,97,2026-03-01,85265
Neilston,86.2,38,86.1,97.4,2026-03-01,85265
Newton,56.2,36,57.6,91.4,2026-03-01,85265
North Berwick,74.2,19,74.2,93.3,2026-03-01,85265
Oban,57,7,57,73.4,2026-03-01,85265
Paisley Canal,54.9,33,54.9,95.9,2026-03-01,85265
Paisley Gilmour Street,NA,NA,70.7,95.2,2026-03-01,85265
Partick,NA,NA,56.4,89.1,2026-03-01,85265
Perth,74.1,26,65.3,86.3,2026-03-01,85265
Rutherglen,63.8,2,62,89.2,2026-03-01,85265
Shotts,NA,NA,72.3,93.5,2026-03-01,85265
Springburn,42.2,33,67.9,95,2026-03-01,85265
Stirling,58.7,2,70.3,92.7,2026-03-01,85265
Stonehaven,NA,NA,49.3,85.9,2026-03-01,85265
Stranraer,28.9,5,28.9,69,2026-03-01,85265
Tain,65.5,1,54.3,78.3,2026-03-01,85265
Tweedbank,66.2,31,66.2,91,2026-03-01,85265
Wemyss Bay,78.2,31,78.2,95.6,2026-03-01,85265
Whifflet,28.3,13,52.2,86.5,2026-03-01,85265
Wick,41.3,4,NA,NA,2026-03-01,85265
